STT,MÃ VẬT TƯ,TÊN VẬT TƯ,ĐVT,DANH MỤC
1,VT0001,Bạc đạn 6203 thường,cái,Vòng bi - Bạc đạn
2,VT0002,Bạc đạn 6202 thường,cái,Vòng bi - Bạc đạn
3,VT0003,Bạc đạn 6203 Koyo( Quạt đỏ),cái,Vòng bi - Bạc đạn
4,VT0004,Bạc đạn 6204 thường (xe rùa),cái,Vòng bi - Bạc đạn
5,VT0005,Bạc đạn 6205 Koyo,cái,Vòng bi - Bạc đạn
6,VT0006,Bạc đạn 6307 Koyo,cái,Vòng bi - Bạc đạn
7,VT0007,Bạc đạn 6301 thường,cái,Vòng bi - Bạc đạn
8,VT0008,Bạc đạn 6303 thường,cái,Vòng bi - Bạc đạn
9,VT0009,Bạc đạn 6311 Koyo( cối đập bắp cũ),cái,Vòng bi - Bạc đạn
10,VT0010,Bạc đạn F209,cái,Vòng bi - Bạc đạn
11,VT0011,Bạc đạn FL208,cái,Vòng bi - Bạc đạn
12,VT0012,Bạc đạn NSK DAC30600037309(quạt trắng),cái,Vòng bi - Bạc đạn
13,VT0013,Bạc đạn UC212,cái,Vòng bi - Bạc đạn
14,VT0014,Bạc đạn UC213,cái,Vòng bi - Bạc đạn
15,VT0015,Bạc đạn UCF205( máy đóng bao),cái,Vòng bi - Bạc đạn
16,VT0016,Bạc đạn UCF206( máy đống bao),cái,Vòng bi - Bạc đạn
17,VT0017,Bạc đạn UCF208,cái,Vòng bi - Bạc đạn
18,VT0018,Bạc đạn UCFL 209(cào phân),cái,Vòng bi - Bạc đạn
19,VT0019,Bạc đạn UCFL206(băng tải cào phân khu 5),cái,Vòng bi - Bạc đạn
20,VT0020,Bạc đạn UCP206( cối đập bắp mới),cái,Vòng bi - Bạc đạn
21,VT0021,Bạc đạn UCP208,cái,Vòng bi - Bạc đạn
22,VT0022,Bạc đạn UCP209(băng tải),cái,Vòng bi - Bạc đạn
23,VT0023,Bạc đạn UCP212( con lăn cối đập bắp mới),cái,Vòng bi - Bạc đạn
24,VT0024,Bản lề lá,cái,Kim khí - Bulong - Ốc vít
25,VT0025,Băng keo điện đen,cuộn,Dầu mỡ - Hóa chất - Sơn
26,VT0026,Bánh răng máy đảo phân,cái,Dây curoa - Nhông xích - Truyền động
27,VT0027,Bánh xe đỏ A150,cái,Phụ tùng Xe - Máy móc
28,VT0028,Bánh xe đỏ A200,cái,Phụ tùng Xe - Máy móc
29,VT0029,Bánh xe nâng nhỏ,cái,Phụ tùng Xe - Máy móc
30,VT0030,Bánh xe trắng,cái,Phụ tùng Xe - Máy móc
31,VT0031,Bao tay len,đôi,Công cụ - Dụng cụ - Bảo hộ
32,VT0032,Bao tay mủ,đôi,Công cụ - Dụng cụ - Bảo hộ
33,VT0033,Bạt 2 da,cây,Vật tư Đóng gói - Bạt - Dây
34,VT0034,Bạt đen Thái Lan,cây,Vật tư Đóng gói - Bạt - Dây
35,VT0035,Béc cam xịt rửa,cái,Vật tư Nước - Khí nén
36,VT0036,Béc cắt gió đá,cái,Vật tư Hàn - Cắt - Gia công
37,VT0037,Béc hàn 0.8ly,cái,Vật tư Hàn - Cắt - Gia công
38,VT0038,Béc hàn 1.2ly,cái,Vật tư Hàn - Cắt - Gia công
39,VT0039,Béc cắt plasma,cái,Vật tư Hàn - Cắt - Gia công
40,VT0040,Bình ắc quy 12V-8Ah,cái,Vật tư Điện - Điện tử
41,VT0041,Bình ắc quy 70AH,cái,Vật tư Điện - Điện tử
42,VT0042,Bộ bánh cao su lõi thép máy đảo phân,cái,Thiết bị Chăn nuôi - Nông nghiệp
43,VT0043,Bộ bánh xe máy đảo phân,cái,Phụ tùng Xe - Máy móc
44,VT0044,Bộ chia hơi 3 chân,cái,Vật tư Nước - Khí nén
45,VT0045,Bo cho gà ăn,cái,Vật tư Điện - Điện tử
46,VT0046,Bộ đếm bao phân điện tử,cái,Vật tư Đóng gói - Bạt - Dây
47,VT0047,Bộ đếm cơ,cái,Vật tư Khác
48,VT0048,Bo dẹp loại mới,cái,Vật tư Điện - Điện tử
49,VT0049,Bơm định lượng hóa chất lỏng,cái,Vật tư Nước - Khí nén
50,VT0050,Bóng đèn hồng ngoại,cái,Vật tư Điện - Điện tử
51,VT0051,Bóng đèn vàng 18W,cái,Vật tư Điện - Điện tử
52,VT0052,Buli moter quạt đỏ,cái,Dây curoa - Nhông xích - Truyền động
53,VT0053,Buli kéo cáp cho gà ăn,cái,Dây curoa - Nhông xích - Truyền động
54,VT0054,Bulong 12x30(máy đảo phân),bộ,Thiết bị Chăn nuôi - Nông nghiệp
55,VT0055,Bulong 14x120 trắng,cái,Kim khí - Bulong - Ốc vít
56,VT0056,Cân bàn 30kg,cái,Công cụ - Dụng cụ - Bảo hộ
57,VT0057,Cân bàn 5kg,cái,Công cụ - Dụng cụ - Bảo hộ
58,VT0058,Càng xoay A150,cái,Phụ tùng Xe - Máy móc
59,VT0059,Càng xoay A200,cái,Phụ tùng Xe - Máy móc
60,VT0060,Cánh quạt đỏ OMYSU,cánh,Vật tư Điện - Điện tử
61,VT0061,Cánh quạt máy đập bắp,cánh,Vật tư Điện - Điện tử
62,VT0062,Cáp inox 5ly,mét,Vật tư Điện - Điện tử
63,VT0063,Cây bơm mỡ bò,cây,Công cụ - Dụng cụ - Bảo hộ
64,VT0064,Cây đỡ nước,cây,Vật tư Khác
65,VT0065,CB cóc 1 pha 20A,cái,Vật tư Điện - Điện tử
66,VT0066,CB khối 100A,cái,Vật tư Điện - Điện tử
67,VT0067,CB khối 225A,cái,Vật tư Điện - Điện tử
68,VT0068,CB khối 250A,cái,Vật tư Điện - Điện tử
69,VT0069,CB khối 30A,cái,Vật tư Điện - Điện tử
70,VT0070,CB khối 400A,cái,Vật tư Điện - Điện tử
71,VT0071,CB khối 50A,cái,Vật tư Điện - Điện tử
72,VT0072,CB khối 75A,cái,Vật tư Điện - Điện tử
73,VT0073,CB tép 1 pha 10A,cái,Vật tư Điện - Điện tử
74,VT0074,CB tép 1 pha 16-20A bãi,cái,Vật tư Điện - Điện tử
75,VT0075,Cb tép 1 pha 6-10A bãi,cái,Vật tư Điện - Điện tử
76,VT0076,CB tép 3 pha 50A,cái,Vật tư Điện - Điện tử
77,VT0077,CB tép 3 pha 50A bãi,cái,Vật tư Điện - Điện tử
78,VT0078,Chai R7,chai,Dầu mỡ - Hóa chất - Sơn
79,VT0079,Chỉ may bao,cuộn,Vật tư Đóng gói - Bạt - Dây
80,VT0080,Chổi cỏ,cây,Công cụ - Dụng cụ - Bảo hộ
81,VT0081,Chổi dừa,cây,Công cụ - Dụng cụ - Bảo hộ
82,VT0082,Chổi nhựa,cây,Công cụ - Dụng cụ - Bảo hộ
83,VT0083,Chụp khí 200A,cái,Vật tư Hàn - Cắt - Gia công
84,VT0084,Chụp khí 500A,cái,Vật tư Hàn - Cắt - Gia công
85,VT0085,Chụp sứ lớn máy cắt plasma,cái,Vật tư Hàn - Cắt - Gia công
86,VT0086,Co 27,cái,Vật tư Nước - Khí nén
87,VT0087,Co 34,cái,Vật tư Nước - Khí nén
88,VT0088,Co 42,cái,Vật tư Nước - Khí nén
89,VT0089,Co 49,cái,Vật tư Nước - Khí nén
90,VT0090,Cổ dê inox,cái,Kim khí - Bulong - Ốc vít
91,VT0091,Cọ quét sơn,cái,Dầu mỡ - Hóa chất - Sơn
92,VT0092,Cọc bình,cái,Vật tư Khác
93,VT0093,Cóc điện,cái,Vật tư Khác
94,VT0094,Còi báo 12VDC-100W 300dB,cái,Vật tư Điện - Điện tử
95,VT0095,Con mắt cám,con,Thiết bị Chăn nuôi - Nông nghiệp
96,VT0096,Công tắc đen xoay 3VT phi 30,cái,Vật tư Điện - Điện tử
97,VT0097,Công tắc nhấn nhả có đèn đỏ,cái,Vật tư Điện - Điện tử
98,VT0098,Công tắc nhấn nhả có đèn xanh,cái,Vật tư Điện - Điện tử
99,VT0099,Cos bình,cái,Vật tư Điện - Điện tử
100,VT0100,Cos điện đồng 240,cái,Vật tư Điện - Điện tử
101,VT0101,Cos điện nhôm 150,cái,Vật tư Điện - Điện tử
102,VT0102,Cos điện nhôm 95,cái,Vật tư Điện - Điện tử
103,VT0103,Cos điện đồng 50,cái,Vật tư Điện - Điện tử
104,VT0104,Cos điện đồng 16,cái,Vật tư Điện - Điện tử
105,VT0105,Cốt gắn bạc đạn quạt,cái,Vòng bi - Bạc đạn
106,VT0106,Cốt máy đập bắp,cái,Dây curoa - Nhông xích - Truyền động
107,VT0107,Công tắc xoay 3 vị trí CRSL-253A1,cái,Vật tư Điện - Điện tử
108,VT0108,CTHT TZ-8108,cái,Vật tư Khác
109,VT0109,Cửa lồng lớn,cái,Thiết bị Chăn nuôi - Nông nghiệp
110,VT0110,Cước chà máng,kg,Thiết bị Chăn nuôi - Nông nghiệp
111,VT0111,Đá cắt 100,viên,Vật tư Hàn - Cắt - Gia công
112,VT0112,Đá cắt 125,viên,Vật tư Hàn - Cắt - Gia công
113,VT0113,Đá cắt 150,viên,Vật tư Hàn - Cắt - Gia công
114,VT0114,Đá cắt 350,viên,Vật tư Hàn - Cắt - Gia công
115,VT0115,Đá mài 100,viên,Vật tư Hàn - Cắt - Gia công
116,VT0116,Đá mài 180,viên,Vật tư Hàn - Cắt - Gia công
117,VT0117,Đầu hàn,cái,Vật tư Hàn - Cắt - Gia công
118,VT0118,Dầu máy nén khí SHL Super Compressor-46,lít,Vật tư Hàn - Cắt - Gia công
119,VT0119,Đầu moter DC cho gà ăn,cái,Vật tư Điện - Điện tử
120,VT0120,Đầu nối ống xịt rửa,cái,Vật tư Nước - Khí nén
121,VT0121,Đầu rút river,bộ,Kim khí - Bulong - Ốc vít
122,VT0122,Dầu thắng VH3-2,chai,Dầu mỡ - Hóa chất - Sơn
123,VT0123,Dầu trợ lực tay lái,chai,Dầu mỡ - Hóa chất - Sơn
124,VT0124,Dây curoa răng 8640(cối trộn mix),sợi,Dây curoa - Nhông xích - Truyền động
125,VT0125,Dây curoa 81340,sợi,Dây curoa - Nhông xích - Truyền động
126,VT0126,Dây curoa A32,sợi,Dây curoa - Nhông xích - Truyền động
127,VT0127,Dây curoa A42,sợi,Dây curoa - Nhông xích - Truyền động
128,VT0128,Dây curoa A47,sợi,Dây curoa - Nhông xích - Truyền động
129,VT0129,Dây curoa A60,sợi,Dây curoa - Nhông xích - Truyền động
130,VT0130,Dây curoa A64,sợi,Dây curoa - Nhông xích - Truyền động
131,VT0131,Dây curoa A68,sợi,Dây curoa - Nhông xích - Truyền động
132,VT0132,Dây curoa A86 (quạt đỏ),sợi,Dây curoa - Nhông xích - Truyền động
133,VT0133,Dây curoa B117( cối trộn cám),sợi,Dây curoa - Nhông xích - Truyền động
134,VT0134,Dây curoa B118(cối trộn cám),sợi,Dây curoa - Nhông xích - Truyền động
135,VT0135,Dây curoa B122( máy đập bắp cũ),sợi,Dây curoa - Nhông xích - Truyền động
136,VT0136,Dây curoa B46,sợi,Dây curoa - Nhông xích - Truyền động
137,VT0137,Dây curoa B59,sợi,Dây curoa - Nhông xích - Truyền động
138,VT0138,Dây curoa B73,sợi,Dây curoa - Nhông xích - Truyền động
139,VT0139,Dây curoa B85,sợi,Dây curoa - Nhông xích - Truyền động
140,VT0140,Dây curoa B86,sợi,Dây curoa - Nhông xích - Truyền động
141,VT0141,Dây curoa B99,sợi,Dây curoa - Nhông xích - Truyền động
142,VT0142,Dây curoa C136( máy đập bắp mới),sợi,Dây curoa - Nhông xích - Truyền động
143,VT0143,Dây điện đơn CV2.5 xanh,mét,Vật tư Điện - Điện tử
144,VT0144,Dây điện 3x4.0,mét,Vật tư Điện - Điện tử
145,VT0145,Dây điện 2x0.75 CDS,mét,Vật tư Điện - Điện tử
146,VT0146,Dây điện 2x1.5 CDS,mét,Vật tư Điện - Điện tử
147,VT0147,Dây điện 2x2.5 CDS,mét,Vật tư Điện - Điện tử
148,VT0148,Dây điện 2x4.0 CDS,mét,Vật tư Điện - Điện tử
149,VT0149,Dây điện 3x0.75 CDS,mét,Vật tư Điện - Điện tử
150,VT0150,Dây điện 3x1.5 CDS,mét,Vật tư Điện - Điện tử
151,VT0151,Dây điện 3x2.5 CDS,mét,Vật tư Điện - Điện tử
152,VT0152,Dây điện 3x6.0 CDS,mét,Vật tư Điện - Điện tử
153,VT0153,Dây dò nhiệt DSFox-X10,sợi,Vật tư Điện - Điện tử
154,VT0154,Dây dò nhiệt DSFox-XD20,sợi,Vật tư Điện - Điện tử
155,VT0155,Dây dò nhiệt Fox-2001F,sợi,Vật tư Điện - Điện tử
156,VT0156,Dây dò nhiệt inox,sợi,Vật tư Điện - Điện tử
157,VT0157,Dây dò nhiệt nhựa,sợi,Vật tư Điện - Điện tử
158,VT0158,Dây dù 5mm,mét,Vật tư Đóng gói - Bạt - Dây
159,VT0159,Dây hàn lõi thuốc 1.2(15kg/cuộn),cuộn,Vật tư Hàn - Cắt - Gia công
160,VT0160,Dây hàn nối bình,mét,Vật tư Hàn - Cắt - Gia công
161,VT0161,Dây hàn trần 0.8(15kg/cuộn),cuộn,Vật tư Hàn - Cắt - Gia công
162,VT0162,Dây lưới cào phân 22ly,cuộn,Thiết bị Chăn nuôi - Nông nghiệp
163,VT0163,Dây nguồn sạc,cái,Vật tư Điện - Điện tử
164,VT0164,Co 140,cuộn,Vật tư Nước - Khí nén
165,VT0165,Dây trắng,cây,Vật tư Đóng gói - Bạt - Dây
166,VT0166,Dây vàng,cây,Vật tư Đóng gói - Bạt - Dây
167,VT0167,Domino,cái,Vật tư Điện - Điện tử
168,VT0168,Dung môi pha sơn,lít,Dầu mỡ - Hóa chất - Sơn
169,VT0169,Đế rơ le 8c,cái,Vật tư Điện - Điện tử
170,VT0170,Đế rơ le trung gian 14 chân,cái,Vật tư Điện - Điện tử
171,VT0171,Đế timer,cái,Vật tư Điện - Điện tử
172,VT0172,Đèn báo pha 3 màu,cái,Vật tư Điện - Điện tử
173,VT0173,Đèn báo pha có còi,cái,Vật tư Điện - Điện tử
174,VT0174,Đèn led trắng 20W,cái,Vật tư Điện - Điện tử
175,VT0175,Đèn led trắng 30W,cái,Vật tư Điện - Điện tử
176,VT0176,Đèn led trắng 50W,cái,Vật tư Điện - Điện tử
177,VT0177,Đèn led trắng 60W,cái,Vật tư Điện - Điện tử
178,VT0178,Đèn led trắng 65W,cái,Vật tư Điện - Điện tử
179,VT0179,Đèn năng lượng mặt trời,cái,Vật tư Điện - Điện tử
180,VT0180,Đèn sau xe tải,cái,Phụ tùng Xe - Máy móc
181,VT0181,Đồng hồ CO2,cái,Vật tư Hàn - Cắt - Gia công
182,VT0182,Đồng hồ gas,cái,Công cụ - Dụng cụ - Bảo hộ
183,VT0183,Đồng hồ nhiệt DSFOX -X10,cái,Vật tư Điện - Điện tử
184,VT0184,Đồng hồ nhiệt DSFOX- XD20,cái,Vật tư Điện - Điện tử
185,VT0185,Đồng hồ nhiệt Fox-2001F,cái,Vật tư Điện - Điện tử
186,VT0186,Đồng hồ oxy,cái,Vật tư Hàn - Cắt - Gia công
187,VT0187,Đồng hồ treo tường,cái,Công cụ - Dụng cụ - Bảo hộ
188,VT0188,Đuôi đèn sứ E27,cái,Vật tư Điện - Điện tử
189,VT0189,Enviclean 1AC(5L/can),can,Thiết bị Chăn nuôi - Nông nghiệp
190,VT0190,Enviclean 3AC(5L/can),can,Thiết bị Chăn nuôi - Nông nghiệp
191,VT0191,Ghim bắn lồng lớn CL-24,hộp,Thiết bị Chăn nuôi - Nông nghiệp
192,VT0192,Ghim bắn lồng nhỏ SC-660,hộp,Thiết bị Chăn nuôi - Nông nghiệp
193,VT0193,Giá đỡ moter xịt rửa,cái,Vật tư Điện - Điện tử
194,VT0194,Giấy úm gà,thùng,Thiết bị Chăn nuôi - Nông nghiệp
195,VT0195,Giẻ lau,kg,Công cụ - Dụng cụ - Bảo hộ
196,VT0196,Gương xe 15 tấn,cái,Phụ tùng Xe - Máy móc
197,VT0197,Hộp số moter DC cho gà ăn,cái,Vật tư Điện - Điện tử
198,VT0198,Ke chống bão,cái,Kim khí - Bulong - Ốc vít
199,VT0199,Kẽm buộc lồng,kg,Kim khí - Bulong - Ốc vít
200,VT0200,Keo chống thấm 10F,cuộn,Dầu mỡ - Hóa chất - Sơn
201,VT0201,Kẹo chuột,kg,Thiết bị Chăn nuôi - Nông nghiệp
202,VT0202,Keo dán AB,bộ,Dầu mỡ - Hóa chất - Sơn
203,VT0203,Keo dán bạt,hộp,Dầu mỡ - Hóa chất - Sơn
204,VT0204,Keo dán ống 1kg,hộp,Vật tư Nước - Khí nén
205,VT0205,Keo dán ống 500gr,hộp,Vật tư Nước - Khí nén
206,VT0206,Kéo đen,cái,Công cụ - Dụng cụ - Bảo hộ
207,VT0207,Keo non,cuộn,Dầu mỡ - Hóa chất - Sơn
208,VT0208,Keo sơn lót EXL32,thùng,Dầu mỡ - Hóa chất - Sơn
209,VT0209,Keo sơn phủ EXP310,thùng,Dầu mỡ - Hóa chất - Sơn
210,VT0210,Khoen bấm vàng,cái,Vật tư Khác
211,VT0211,Khởi 22a,cái,Vật tư Điện - Điện tử
212,VT0212,Khởi 330A,cái,Vật tư Điện - Điện tử
213,VT0213,Khởi 40a,cái,Vật tư Điện - Điện tử
214,VT0214,Khởi 65a,cái,Vật tư Điện - Điện tử
215,VT0215,Khởi 75a,cái,Vật tư Điện - Điện tử
216,VT0216,Khởi 85a,cái,Vật tư Điện - Điện tử
217,VT0217,Khởi MC-9b,cái,Vật tư Điện - Điện tử
218,VT0218,Kim cộng lực,cái,Vật tư Khác
219,VT0219,Kim may bao,cái,Vật tư Đóng gói - Bạt - Dây
220,VT0220,Láp nhựa đặc 170,cây,Dây curoa - Nhông xích - Truyền động
221,VT0221,Láp nhựa đặc D42,cây,Dây curoa - Nhông xích - Truyền động
222,VT0222,Lò xo cám ống 90,mét,Thiết bị Chăn nuôi - Nông nghiệp
223,VT0223,Lọc nhớt xe xúc Hoằng Giai 932( K310-23-802),cái,Phụ tùng Xe - Máy móc
224,VT0224,Lọc dầu thô  xe ben 6 tấn( mã 1000401),cái,Phụ tùng Xe - Máy móc
225,VT0225,Lọc dầu tinh xe ben 6 tấn( mã 2000401),cái,Phụ tùng Xe - Máy móc
226,VT0226,Lọc dầu tinh xe ben 8 tấn(G5800-1105140C),cái,Phụ tùng Xe - Máy móc
227,VT0227,Lọc dầu xe xúc Hải Âu( JX85100-C),cái,Phụ tùng Xe - Máy móc
228,VT0228,"Lọc dầu xe xúc HG 932( CX0708) và lọc dầu xe đảo phân, và lọc dầu xe Hải Âu T939LA",cái,Phụ tùng Xe - Máy móc
229,VT0229,Lọc gió máy đảo phân (A1530),cái,Phụ tùng Xe - Máy móc
230,VT0230,Lọc gió xe ben 6 tấn (PU2030),cái,Phụ tùng Xe - Máy móc
231,VT0231,Lọc gió xe ben 8 tấn,cái,Phụ tùng Xe - Máy móc
232,VT0232,Lọc gió xe xúc Hải Âu WL927LA( KT1532),cái,Phụ tùng Xe - Máy móc
233,VT0233,Lọc gió xe xúc Hoằng Giai 932 (mã PU1634) và  lọc gió xe Hải Âu T939LA,cái,Phụ tùng Xe - Máy móc
234,VT0234,Lọc nhớt xe đảo phân (JX0818B),cái,Phụ tùng Xe - Máy móc
235,VT0235,Lọc nhớt xe ben 6 tấn ( JX0810Y),cái,Phụ tùng Xe - Máy móc
236,VT0236,Lọc nhớt xe ben 8 tấn (186-1012000B-937),cái,Phụ tùng Xe - Máy móc
237,VT0237,Lọc dầu xe xúc Hải Âu WL927LA ( CX0708),cái,Phụ tùng Xe - Máy móc
238,VT0238,"Lọc nhớt xe xúc HG 932 ( JX0810Y) và lọc nhớt đảo phân, và lọc nhớt xe Hải Âu T939LA",cái,Phụ tùng Xe - Máy móc
239,VT0239,Long đền 14 trắng,con,Kim khí - Bulong - Ốc vít
240,VT0240,Long đền 4ly,bịch,Kim khí - Bulong - Ốc vít
241,VT0241,Lưỡi cắt mỏ,cái,Vật tư Khác
242,VT0242,Lưỡi dao máy đảo phân,cái,Thiết bị Chăn nuôi - Nông nghiệp
243,VT0243,Lúp pê 42,cái,Vật tư Nước - Khí nén
244,VT0244,Lúp pê 49,cái,Vật tư Nước - Khí nén
245,VT0245,Máng cản phân máy đảo phân,cái,Thiết bị Chăn nuôi - Nông nghiệp
246,VT0246,Máng tạt cám,cái,Thiết bị Chăn nuôi - Nông nghiệp
247,VT0247,Mắt xích 50,cái,Dây curoa - Nhông xích - Truyền động
248,VT0248,Mắt xích 60,cái,Dây curoa - Nhông xích - Truyền động
249,VT0249,Mắt xích 80 đôi,cái,Dây curoa - Nhông xích - Truyền động
250,VT0250,Mắt xích 80 đơn,cái,Dây curoa - Nhông xích - Truyền động
251,VT0251,Máy cắt 100 KSM12,cái,Vật tư Hàn - Cắt - Gia công
252,VT0252,Máy cắt bàn 350,cái,Vật tư Hàn - Cắt - Gia công
253,VT0253,Máy cắt mỏ tự động,cái,Vật tư Hàn - Cắt - Gia công
254,VT0254,Máy doa KST08-25,cái,Vật tư Hàn - Cắt - Gia công
255,VT0255,Máy hàn băng tải phân,cái,Vật tư Hàn - Cắt - Gia công
256,VT0256,Máy may bao GK9-200,cái,Công cụ - Dụng cụ - Bảo hộ
257,VT0257,Máy sát trùng người,cái,Thiết bị Chăn nuôi - Nông nghiệp
258,VT0258,Men envicop(0.45kg/1 túi),kg,Thiết bị Chăn nuôi - Nông nghiệp
259,VT0259,Men khử mùi sả OCF(5L/can),can,Thiết bị Chăn nuôi - Nông nghiệp
260,VT0260,Men trộn Trichoderma,kg,Thiết bị Chăn nuôi - Nông nghiệp
261,VT0261,Miếng cố định dao máy đảo phân,cái,Thiết bị Chăn nuôi - Nông nghiệp
262,VT0262,Mỡ bò chịu nhiệt,kg,Dầu mỡ - Hóa chất - Sơn
263,VT0263,Mỡ bò thường,kg,Dầu mỡ - Hóa chất - Sơn
264,VT0264,Moter DC cho gà ăn,bộ,Vật tư Điện - Điện tử
265,VT0265,Mũi khoan rút ruột,cái,Vật tư Hàn - Cắt - Gia công
266,VT0266,Nẹp nhựa,cây,Kim khí - Bulong - Ốc vít
267,VT0267,Nhông đôi 80-13R cốt 38,cái,Dây curoa - Nhông xích - Truyền động
268,VT0268,Nhông đôi 80-20R cốt 40,cái,Dây curoa - Nhông xích - Truyền động
